Unnamed: 0,DOI,author,year,title,fname,retrieved
18,10.1002/jpln.19951580308,gerzabek,1995,response of soil aggregate stability to manure amendments in the ultuna long-term soil organic matter experiment,gerzabek1995,True
19,10.1002/jpln.200700316,ulrich,2010,biological soil properties in a long-term tillage trial in germany,ulrich2010,True
20,10.1002/jpln.200900348,emmerling,2010,long-lasting impact of biowaste-compost application in agriculture on soil-quality parameters in three different crop-rotation systems,emmerling2010,True
21,10.1002/jpln.201100172,liu,2012,short-term effect of biochar and compost on soil fertility and water status of a dystric cambisol in ne germany under field conditions,liu2012c,True
22,10.1002/jpln.201200393,piegholdt,2013,long-term tillage effects on the distribution of phosphorus fractions of loess soils in germany,piegholdt2013,True
23,10.1002/jpln.201200639,sun,2014,"biochars improve aggregate stability, water retention, and pore-space properties of clayey soil",sun2014a,True
24,10.1002/jpln.201200652,alburquerque,2014,effects of biochars produced from different feedstocks on soil properties and sunflower growth,alburquerque2014,True
25,10.1002/jpln.201300590,martinsen,2014,farmer-led maize biochar trials: effect on crop yield and soil nutrients under conservation farming,martinsen2014a,False
26,10.1002/jpln.201400090,yu,2015,"impact of land-use changes on soil hydraulic properties of calcaric regosols on the loess plateau, nw china",yu2015,True
27,10.1002/jsfa.7382,niu,2016,contributions of long‐term tillage systems on crop production and soil properties in the semi‐arid loess plateau of china,niu2016,True
28,10.1002/jsfa.7753,laghari,2016,recent developments in biochar as an effective tool for agricultural soil management: a review,laghari2016,True
29,10.1002/ldr.1033,ghafoor,2012,reclamation and salt leaching efficiency for tile drained saline-sodic soil using marginal quality water for irrigating rice and wheat crops,ghafoor2012,True
30,10.1002/ldr.1055,barbera,2012,long-term cropping systems and tillage management effects on soil organic carbon stock and steady state level of c sequestration rates in a semiarid environment,barbera2012a,True
31,10.1002/ldr.2218,de moraes sa,2015,carbon depletion by plowing and its restoration by no-till cropping systems in oxisols of subtropical and tropical agro-ecoregions in brazil,de2015b,True
32,10.1002/ldr.2224,hanke,2015,tradeoffs in the rehabilitation of a succulent  karoo rangeland,hanke2015,True
33,10.1002/ldr.2269,parras-alcantara,2015,management effects on soil organic carbon stock in mediterranean open rangelands-treeless grasslands,parras-alcantara2015,True
34,10.1002/ldr.2293,laudicina,2015,long-term tillage and cropping system effects on chemical and biochemical characteristics of soil organic matter in a mediterranean semiarid environment,laudicina2015,True
35,10.1002/ldr.2496,garcía-orenes,2016,organic fertilization in traditional mediterranean grapevine orchards mediates changes in soil microbial community structure and enhances soil fertility,garcía-orenes2016,True
36,10.1002/ldr.2553,nawaz,2017,mulching affects soil properties and greenhouse gas emissions under long‐term no‐till and plough‐till systems in alfisol of central ohio,nawaz2017,True
37,10.1002/ldr.2726,piccoli,2017,conservation agriculture had a poor impact on the soil porosity of veneto low-lying plain silty soils after a 5-year transition period,piccoli2017,True
38,10.1002/ldr.2902,wiesmeier,2018,rebuilding soil carbon in degraded steppe soils of eastern europe: the importance of windbreaks and improved cropland management,wiesmeier2018,True
39,10.1002/ldr.2906,trifunovic,2018,dynamic effects of biochar concentration and particle size on hydraulic properties of sand,trifunovic2018a,True
40,10.1002/ldr.3023,repullo-ruibérriz de torres,2018,efficiency of four different seeded plants and native vegetation as cover crops in the control of soil and carbon losses by water erosion in olive orchards,repullo-ruibérriz2018,True
41,10.1002/ldr.464,mrabet,2001,soil chemical quality changes and implications for fertilizer management after 11 years of no-tillage wheat production systems in semiarid morocco,mrabet2001a,True
42,10.1002/ldr.567,yang,2003,"black soil degradation by rainfall erosion in jilin, china",yang2003,True
43,10.1002/ldr.580,ojeda,2003,runoff and losses by erosion in soils amended with sewage sludge,ojeda2003a,True
44,10.1002/ldr.672,abunyewa,2005,improved fallow with pigeon pea for soil fertility improvement and to increase maize production in a smallholder crop-livestock farming system in the subhumid zone of ghana,abunyewa2005,True
45,10.1002/ldr.674,raya,2006,soil erosion and runoff response to plant-cover strips on semiarid slopes (se spain),raya2006a,True
46,10.1002/ldr.902,hudek,2009,studying the effects of mahonia aquifolium populations on small-scale mountain agro-ecosystems in hungary with the view to minimise land degradation,hudek2009,True
47,10.1002/ldr.915,marques,2010,"soil conservation beneath grass cover in hillside vineyards under mediterranean climatic conditions (madrid, spain)",marques2010a,True
48,10.1002/ldr.917,montanaro,2010,effects of soil-protecting agricultural practices on soil organic carbon and productivity in fruit tree orchards,montanaro2010a,True
49,10.1002/ldr.999,haghighi,2010,a study of the effects of land use changes on soil physical properties and organic matter,haghighi2010,True
50,10.1007/978-1-4020-5760-1_2,mafongoya,2006,appropriate technologies to replenish soil fertility in southern africa,mafongoya2006,True
51,10.1007/bf00010714,gichuru,1991,"residual effects of natural bush, cajanus-cajan and tephrosia-candida on the productivity of an acid soil in southeastern nigeria",gichuru1991,True
52,10.1007/bf00123474,onim,1990,"soil fertility changes and response of maize and beans to green manures of leucaena, sesbania and pigeonpea",onim1990,True
53,10.1007/bf00148162,torquebiau,1996,root development in a sesbania sesban fallow-maize system in eastern zambia,torquebiau1996,True
54,10.1007/bf00159065,lal,1989,agroforestry systems and soil surface management of a tropical alfisol,lal1989b,True
55,10.1007/bf00213645,drechsel,1996,a review on the potential of improved fallows and green manure in rwanda,drechsel1996,True
56,10.1007/bf00257825,dennis,1989,the soil microbial community in a sewage-sludge-amended semi-arid  grassland,dennis1989,True
57,10.1007/bf00282953,fresquez,1991,heavy metal uptake by blue grama growing in a  degraded semiarid soil amended with sewage sludge,fresquez1991,True
58,10.1007/bf00335906,entry,1996,"influence of management practices on soil organic matter, microbial biomass and cotton yield in alabama’s ‘old rotation’",entry1996,True
59,10.1007/bf00346055,favretto,1992,invertebrates and nutrients in a mediterranean vineyard mulched with subterranean clover (trifolium subterraneum l,favretto1992,True
60,10.1007/bf00704831,banda,1994,"effect of intercropping maize and closely spaced leucaena hedgerows on soil conservation and maize yield on a steep slope at ntcheu, malawi",banda1994,True
61,10.1007/bf00750462,heathman,1995,"land application of poultry litter and water-quality in oklahoma, usa",heathman1995,True
62,10.1007/s00267-001-0014-2,taddese,2002,"impact of grazing on plant species richness, plant biomass, plant attribute, and soil physical and hydrological properties of vertisol in east african highlands",taddese2002b,True
63,10.1007/s00267-002-2727-2,taddese,2002,effect of grazing on plant attributes and hydrological properties in the sloping lands of the east african highlands,taddese2002a,True
64,10.1007/s00267-003-9106-5,reeder,2004,response of organic and inorganic carbon and nitrogen to long-term grazing of the shortgrass steppe,reeder2004,True
65,10.1007/s00267-003-9160-z,doyle,2004,biologically defined soil organic matter pools as affected by rotation and tillage,doyle2004,True
66,10.1007/s00267-009-9319-3,vargas,2009,"field trial assessment of biological, chemical, and physical responses of soil to tillage intensity, fertilization, and grazing",vargas2009,True
67,10.1007/s00267-012-9834-5,nascimbene,2012,organic farming benefits local plant diversity in vineyard farms located in intensive agricultural landscapes,nascimbene2012a,True
68,10.1007/s00271-009-0190-z,bandyopadhyay,2010,effect of irrigation and nitrogen application methods on input use efficiency of wheat under limited water supply in a vertisol of central india,bandyopadhyay2010b,True
69,10.1007/s00271-010-0245-1,boulal,2011,soil management and traffic effects on infiltration of irrigation water applied using sprinklers,boulal2011,True
70,10.1007/s00374-001-0423-7,schutter,2001,"seasonal, soil type, and alternative management influences on microbial communities of vegetable cropping systems",schutter2001,True
71,10.1007/s00374-002-0459-3,pankhurst,2002,"impact of a change in tillage and crop residue management practice on soil chemical and microbiological properties in a cereal-producing red duplex soil in nsw, australia",pankhurst2002,True
72,10.1007/s00374-003-0590-9,balota,2003,microbial biomass in soils under different tillage and crop rotation systems,balota2003,True
73,10.1007/s00374-003-0645-y,martens,2003,recovery of fertilizer nitrogen from continuous corn soils under contrasting tillage management,martens2003,True
74,10.1007/s00374-003-0664-8,ekenler,2003,effects of liming and tillage systems on microbial biomass and glycosidases in soils,ekenler2003,True
75,10.1007/s00374-004-0740-8,chirwa,2004,changes in soil properties and their effects on maize productivity following sesbania sesban and cajanus cajan improved fallow systems in eastern zambia,chirwa2004,True
76,10.1007/s00374-004-0772-0,zaller,2004,"effects of traditional and biodynamic farmyard manure amendment on yields, soil chemical, biochemical and biological properties in a long-term field experiment",zaller2004,True
77,10.1007/s00374-005-0023-z,sullivan,2006,long-term impacts of infrequent  biosolids applications on chemical and microbial properties of a semi-arid rangeland soil,sullivan2006a,True
78,10.1007/s00374-007-0225-7,probst,2008,vineyard soils under organic and conventional management - microbial biomass and activity indices and their relation to soil chemical properties,probst2008a,True
79,10.1007/s00374-010-0493-5,qin,2010,methane and nitrous oxide emissions from organic and conventional rice cropping systems in southeast china,qin2010a,True
80,10.1007/s00374-012-0766-2,haque,2013,optimum application level of winter cover crop biomass as green manure under considering methane emission and rice productivity in paddy soil,haque2013,True
81,10.1007/s00374-013-0871-x,murugan,2014,"long-term influence of different tillage intensities on soil microbial biomass, residues and community structure at different depths",murugan2014,False
82,10.1007/s00374-014-0952-5,tellez-rio,2015,nitrous oxide and methane emissions from a vetch cropping season are changed by long-term tillage practices in a mediterranean agroecosystem,tellez-rio2015b,True
83,10.1007/s00374-014-0961-4,gonzález,2015,persistent effect of organic  matter pulse on a sandy soil of semiarid patagonia,gonzález2015,True
84,10.1007/s00374-015-1066-4,rincon-florez,2016,"occasional tillage has no effect on soil microbial biomass, activity and composition in vertisols under long-term no-till",rincon-florez2016,True
85,10.1007/s003740050134,witter,1996,soil c balance in a long-term field experiment in relation to the size of the microbial biomass,witter1996,True
86,10.1007/s003740050328,murata,1997,"effects of cropping systems on soil organic matter in a pair of conventional and biodynamic mixed cropping farms in canterbury, new zealand",murata1997,True
87,10.1007/s003740050450,whalen,1998,population dynamics of earthworm communities in corn agroecosystems receiving organic or inorganic fertilizer amendments,whalen1998,True
88,10.1007/s00572-004-0309-2,baumgartner,2005,weed control and cover crop management affect mycorrhizal colonization of grapevine roots and arbuscular mycorrhizal fungal spore populations in a california vineyard,baumgartner2005,True
89,10.1007/s10021-006-9010-y,grandy,2007,land-use intensity effects on soil organic carbon accumulation rates and mechanisms,grandy2007a,True
90,10.1007/s100870050028,jeranyama,2000,relay-intercropping of sunnhemp and cowpea into a smallholder maize system in zimbabwe,jeranyama2000,False
91,10.1007/s10333-015-0521-z,pratiwi,2016,"rice husk biochar application to paddy soil and its effects on soil physical properties, plant growth, and methane emission",pratiwi2016a,True
92,10.1007/s10340-008-0237-6,rodriguez,2009,effects of cereal cover crops on the main insect pests in spanish olive orchards,rodriguez2009,True
93,10.1007/s10457-007-9083-4,sharrow,2007,soil compaction by grazing livestock in silvopastures as evidenced by changes in soil physical properties,sharrow2007,True
94,10.1007/s10457-008-9128-3,anderson,2009,soil water content and infiltration in agroforestry buffer strips,anderson2009,True
95,10.1007/s10457-008-9158-x,ng,2008,"effects of contour hedgerows on water and soil conservation, crop productivity and nutrient budget for slope farmland in the three gorges region (tgr) of china",ng2008,True
96,10.1007/s10457-011-9392-5,haggar,2011,"coffee agroecosystem performance under full sun, shade,conventional and organic management regimes in central america",haggar2011,False
97,10.1007/s10457-011-9453-9,nyamadzawo,2012,maize yields under coppicing and non coppicing fallows in a fallow-maize rotation system in central zimbabwe,nyamadzawo2012,True
98,10.1007/s10457-011-9474-4,kumar,2012,water infiltration influenced by agroforestry and grass buffers for a grazed pasture system,kumar2012b,True
99,10.1007/s10457-014-9767-5,uribe,2015,"grazing, tilling and canopy effects on carbon dioxide fluxes in a spanish dehesa",uribe2015,False
100,10.1007/s10457-016-9914-2,deng,2017,effects of acacia seyal and biochar on soil properties and sorghum yield in agroforestry systems in south sudan,deng2017,True
101,10.1007/s10653-017-0009-4,kang,2019,establishment of optimal barley straw biochar application conditions for rice cultivation in a paddy field,kang2019,True
102,10.1007/s10705-004-1927-y,tian,2005,long-term effects of fallow systems and lengths on crop production and soil fertility maintenance in west africa,tian2005,True
103,10.1007/s10705-006-9033-y,harawa,2006,nitrogen dynamics in maize-based agroforestry systems as affected by landscape position in southern malawi,harawa2006,True
104,10.1007/s10705-008-9189-8,mina,2008,changes in soil nutrient content and enzymatic activity under conventional and zero-tillage practices in an indian sandy clay loam soil,mina2008,True
105,10.1007/s10705-008-9195-x,dong,2009,tillage and residue management effects on soil carbon and co2 emission in a wheat-corn double-cropping system,dong2009,True
106,10.1007/s10705-008-9211-1,gwenzi,2009,"effects of tillage systems on soil organic carbon dynamics, structural stability and crop yields in irrigated wheat (triticum aestivum l",gwenzi2009,True
107,10.1007/s10705-008-9241-8,pardo,2009,nutrient evolution in soil and cereal yield under different fertilization type in dryland,pardo2009,True
108,10.1007/s10705-009-9327-y,sharma,2010,moisture conservation and nitrogen recycling through legume mulching in rainfed maize (zea mays)–wheat (triticum aestivum) cropping system,sharma2010,True
109,10.1007/s10705-010-9375-3,dass,2010,"runoff capture through vegetative barriers and planting methodologies to reduce erosion, and improve soil moisture, fertility and crop productivity in southern orissa, india",dass2010,True
110,10.1007/s10705-010-9404-2,campiglia,2011,legume cover crops and mulches: effects on nitrate leaching and nitrogen input in a pepper crop (capsicum annuum l.),campiglia2011b,True
111,10.1007/s10705-011-9422-8,johnson,2011,effect of dairy manure slurry application in a no-till system on phosphorus runoff,johnson2011,True
112,10.1007/s10705-011-9441-5,min,2011,effects of a catch crop and reduced nitrogen fertilization on nitrogen leaching in greenhouse vegetable production systems,min2011,True
113,10.1007/s10705-012-9492-2,ngwira,2012,soil carbon dynamics as influenced by tillage and crop residue management in loamy sand and sandy loam soils under smallholder farmers' conditions in malawi,ngwira2012,True
114,10.1007/s10705-012-9521-1,schönbach,2012,grazing effects on the greenhouse gas balance of a temperate steppe ecosystem,schönbach2012,False
115,10.1007/s10705-012-9529-6,loke,2012,changes in soil organic matter indices following 32 years of different wheat production management practices in semi-arid south africa,loke2012,True
116,10.1007/s10705-013-9585-6,bhattacharyya,2013,impacts of conservation agriculture on soil aggregation and aggregate-associated n under an irrigated agroecosystem of the indo-gangetic plains,bhattacharyya2013a,True
117,10.1007/s10705-017-9864-8,chen,2017,soil aggregates response to tillage and residue management in a double paddy rice soil of the southern china,chen2017,True
118,10.1007/s10841-015-9761-x,james,2015,"beauty with benefits: butterfly conservation in washington state, usa, wine grape vineyards",james2015,True
119,10.1007/s11027-013-9535-2,almagro,2016,sustainable land management practices as providers of several ecosystem services under rainfed mediterranean agroecosystems,almagro2016,True
120,10.1007/s11099-016-0672-1,yeboah,2017,soil water content and photosynthetic capacity of spring wheat as affected by soil application of nitrogen-enriched biochar in a semiarid environment,yeboah2017,True
121,10.1007/s11104-005-4415-5,celette,2005,belowground interactions in a vine (vitis vinifera l,celette2005,True
122,10.1007/s11104-005-7459-7,fan,2005,"crop yields, internal nutrient efficiency, and changes in soil properties in rice–wheat rotations under non-flooded mulching cultivation",fan2005a,True
123,10.1007/s11104-006-9006-6,myaka,2006,yields and accumulations of n and p in farmer-managed intercrops of maize-pigeonpea in semi-arid africa,myaka2006,True
124,10.1007/s11104-007-9247-z,akinnifesi,2007,synergistic effect of inorganic n and p fertilizers and organic inputs from gliricidia sepium on productivity of intercropped maize in southern malawi,akinnifesi2007,True
125,10.1007/s11104-008-9722-1,patino-zuniga,2009,"the effect of different tillage and residue management practices on soil characteristics, inorganic n dynamics and emissions of n2o, co2 and ch4 in the central highlands of mexico: a laboratory study",patino-zuniga2009,True
126,10.1007/s11104-008-9868-x,heitkamp,2009,impact of fertilizer type and rate on carbon and nitrogen pools in a sandy cambisol,heitkamp2009,True
127,10.1007/s11104-009-0102-2,heinze,2010,effects of fertilizer and spatial heterogeneity in soil ph on microbial biomass indices in a long-term field trial of organic agriculture,heinze2010,True
128,10.1007/s11104-009-0279-4,kowaljow,2010,organic and inorganic fertilizer effects  on a degraded patagonian rangeland,kowaljow2010,True
129,10.1007/s11104-009-9983-3,munoz-romero,2010,effect of tillage system on the root growth of spring wheat,munoz-romero2010,True
130,10.1007/s11104-010-0379-1,ovalle,2010,estimating the contribution of nitrogen from legume cover crops to the nitrogen nutrition of grapevines using a 15n dilution technique,ovalle2010,True
131,10.1007/s11104-010-0459-2,sun,2011,distribution of soil carbon and microbial biomass in arable soils under different tillage regimes,sun2011b,True
132,10.1007/s11104-010-0579-8,tian,2011,"effects of summer cover crop and residue management on cucumber growth in intensive chinese production systems: soil nutrients, microbial properties and nematodes",tian2011,True
133,10.1007/s11104-010-0712-8,heinze,2011,changes in microbial biomass indices after 10 years of farmyard manure and vegetal fertilizer application to a sandy soil under organic management,heinze2011,True
134,10.1007/s11104-011-0771-5,kammann,2011,influence of biochar on drought tolerance of chenopodium quinoa willd and on soil-plant relations,kammann2011a,True
135,10.1007/s11104-011-1092-4,fuentes,2012,"conservation agriculture, increased organic carbon in the top-soil macro-aggregates and reduced soil co2 emissions",fuentes2012,True
136,10.1007/s11104-012-1244-1,piva,2012,no-till reduces global warming potential in a subtropical ferralsol,piva2012,True
137,10.1007/s11104-012-1250-3,wang,2019,effects of biochar on soil aggregate structure in greenhouse,,False
138,10.1007/s11104-012-1367-4,abalos,2013,role of maize stover incorporation on nitrogen oxide emissions in a non-irrigated mediterranean barley field,abalos2013,True
139,10.1007/s11104-012-1403-4,kim,2013,contribution of winter cover crop amendments on global warming potential in rice paddy soil during cultivation,kim2013,True
140,10.1007/s11104-012-1520-0,atucha,2013,"soil erosion, runoff and nutrient losses in an avocado (persea americana mill) hillside orchard under different groundcover management systems",atucha2013,True
141,10.1007/s11104-013-1585-4,sheng,2013,effect of long-term tillage and mineral phosphorus fertilization on arbuscular mycorrhizal fungi in a humid continental zone of eastern canada,sheng2013,False
142,10.1007/s11104-013-1851-5,tammeorg,2014,"biochar application to a fertile sandy clay loam in boreal conditions: effects on soil properties and yield formation of wheat, turnip rape and faba bean",tammeorg2014b,False
143,10.1007/s11104-013-1926-3,plaza-bonilla,2014,winter cereal root growth and aboveground-belowground biomass ratios as affected by site and tillage system in dryland mediterranean conditions,plaza-bonilla2014c,False
144,10.1007/s11104-013-1969-5,cellier,2014,effect of organic amendment on soil fertility and plant  nutrients in a post-fire mediterranean ecosystem,cellier2014,True
145,10.1007/s11104-013-1980-x,hardie,2014,does biochar influence soil physical properties and soil water availability?,hardie2014a,True
146,10.1007/s11104-014-2115-8,plaza-bonilla,2014,soil carbon dioxide and methane fluxes as affected by tillage and n fertilization in dryland conditions,plaza-bonilla2014a,True
147,10.1007/s11104-014-2294-3,haider,2015,biochar but not humic acid product amendment affected maize yields via improving plant-soil moisture relations,haider2015,False
148,10.1007/s11104-014-2363-7,du,2015,soil properties and apricot growth under intercropping and mulching with erect milk vetch in the loess hilly-gully region,du2015a,True
149,10.1007/s11104-015-2586-2,armstrong,2015,phosphorus and nitrogen fertiliser use efficiency of wheat seedlings grown in soils from contrasting tillage systems,armstrong2015,True
150,10.1007/s11104-015-2734-8,tribouillois,2016,cover crop mixtures including legume produce ecosystem services of nitrate capture and green manuring: assessment combining experimentation and modelling,tribouillois2016,True
151,10.1007/s11104-017-3307-9,gao,2017,"wheat cover crop promoted cucumber seedling growth through regulating soil nutrient resources or soil microbial communities? plant soil 418, 459–475 (2017)",gao2017,True
152,10.1007/s11270-006-9259-y,benham,2007,surface water quality impacts of conservation tillage practices on burley tobacco production systems in southwest virginia,benham2007,True
153,10.1007/s11273-014-9393-z,enriquez,2015,grazing intensity levels influence c reservoirs of wet and mesic meadows along a precipitation gradient in northern patagonia,enriquez2015,True
154,10.1007/s11356-015-4557-9,tang,2015,effects of winter covering crop residue incorporation on ch4and n2o emission from double-cropped paddy fields in southern china,tang2015,True
155,10.1007/s11356-015-4885-9,liu,2016,biochar increased water holding capacity but accelerated organic carbon leaching from a sloping farmland soil in china,liu2016b,True
156,10.1007/s11356-015-5812-9,sun,2016,no tillage combined with crop rotation improves soil microbial community composition and metabolic activity,sun2016a,True
157,10.1007/s11356-016-6271-7,cui,2016,"stability and heavy metal distribution of soil aggregates affected by application of apatite, lime, and charcoal",cui2016,False
158,10.1007/s11356-016-8339-9,gomez,2017,"soil erosion control, plant diversity, and arthropod communities under heterogeneous cover crops in an olive orchard",gomez2017,False
159,10.1007/s11356-017-8505-8,zhang,2017,"effects of straw and biochar amendments on aggregate stability, soil organic carbon, and enzyme activities in the loess plateau, china",zhang2017d,True
160,10.1007/s11356-017-8937-1,dang,2017,"strategic tillage in conservation agricultural systems of north-eastern australia: why, where, when and how?",dang2017,True
161,10.1007/s11356-017-9509-0,zong,2018,ameliorating soil acidity and physical properties of two contrasting texture ultisols with wastewater sludge biochar,zong2018,True
162,10.1007/s11368-010-0293-4,ge,2011,"chemical properties, microbial biomass, and activity differ between soils of organic and conventional horticultural systems under greenhouse and open field management: a case study",ge2011,True
163,10.1007/s11368-011-0388-6,rui,2011,warming and grazing affect soil labile carbon and nitrogen pools differently in an alpine meadow of the qinghai–tibet plateau in china,rui2011,True
164,10.1007/s11368-012-0518-9,yang,2012,arbuscular mycorrhizal fungal community structure and diversity in response to 3-year conservation tillage management in a sandy loam soil in north china,yang2012a,True
165,10.1007/s11368-013-0738-7,lei,2013,effects of biochars derived from different feedstocks and pyrolysis temperatures on soil physical and hydraulic properties,lei2013a,True
166,10.1007/s11368-014-0960-y,baiamonte,2015,structure alteration of a sandy-clay soil by biochar amendments,baiamonte2015,True
167,10.1007/s11368-015-1158-7,li,2012,short-term tillage influences microbial properties of a mollisol in northeast china,li2012c,True
168,10.1007/s11368-015-1187-2,zong,2016,"acidity, water retention, and mechanical physical quality of a strongly acidic ultisol amended with biochars derived from different feedstocks",zong2016a,True
169,10.1007/s11368-015-1338-5,dong,2016,long-term effects of biochar amount on the content and composition of organic matter in soil aggregates under field conditions,dong2016,False
170,10.1007/s11368-015-1349-2,du,2017,biochar addition drives soil aggregation and carbon sequestration in aggregate fractions from an intensive agricultural system,du2017,True
171,10.1007/s11368-016-1589-9,sastre,2016,"soil loss in an olive grove in central spain under cover crops and tillage treatments, and farmer perceptions",sastre2016,True
172,10.1007/s11368-018-2001-8,sun,2018,effect of biochar amendment on water infiltration in a coastal saline soil,sun2018b,True
173,10.1007/s11368-018-2056-6,li,2011,altitudinal pattern of grazing exclusion effects on vegetation characteristics and soil properties in alpine grasslands on the central tibetan plateau,li2011a,True
174,10.1007/s11368-018-2170-5,zhou,2019,biochar amendment of chromium-polluted paddy soil suppresses greenhouse gas emissions and decreases chromium uptake by rice grain,zhou2019a,True
175,10.1007/s11368-019-02293-8,zhang,2019,improvement of physical and hydraulic properties of desert soil with amendment of different biochars,zhang2019b,True
176,10.1007/s11629-009-1034-2,zhou,2009,micromorphological analysis of soil structure under no tillage management in the black soil zone of northeast china,zhou2009a,True
177,10.1007/s11769-013-0606-9,fan,2013,"effects of tillage management on infiltration and preferential flow in a black soil, northeast china",fan2013,True
178,10.1007/s12155-014-9413-0,osborne,2014,the impact of corn residue removal on soil aggregates and particulate organic matter,osborne2014,True
179,10.1007/s12517-018-3939-y,alghamdi,2018,"impact of biochar, bentonite, and compost on physical and chemical characteristics of a sandy soil",alghamdi2018,True
180,10.1007/s12665-011-1424-y,belyaeva,2012,"comparison of the effects of conventional organic amendments and biochar on the chemical, physical and microbial properties of coal fly ash as a plant growth medium",belyaeva2012,False
181,10.1007/s12665-015-4189-x,mukherjee,2015,tillage effects on quality of organic and mineral soils under on-farm conditions in ohio,mukherjee2015,True
182,10.1007/s12665-017-6573-1,kowaljow,2017,understanding compost effects on water availability  in a degraded sandy soil of patagonia,kowaljow2017,True
183,10.1007/s12665-017-6703-9,li,2017,effects of biochar on aggregate characteristics of upland red soil in subtropical china,li2017e,True
184,10.1007/s13165-010-0002-z,barrios-masias,2011,cultivar mixtures of processing tomato in an organic agroecosystem,barrios-masias2011,False
185,10.1007/s13199-015-0359-6,mulas,2015,inoculation with indigenous rhizobium strains increases yields of common bean (phaseolus vulgaris l,mulas2015,True
186,10.1007/s13593-011-0025-1,garcia-tejero,2011,benefits of low-frequency irrigation in citrus orchards,garcia-tejero2011,True
187,10.1007/s13593-011-0079-0,sapkota,2012,"fifteen years of no till increase soil organic matter, microbial biomass and arthropod diversity in cover crop-based arable cropping systems",sapkota2012a,True
188,10.1007/s13593-012-0107-8,armengot,2013,weed harrowing in organically grown cereal crops avoids yield losses without reducing weed diversity,armengot2013,True
189,10.1007/s13593-012-0128-3,alburquerque,2013,enhanced wheat yield by biochar addition under different mineral fertilization levels,alburquerque2013,True
190,10.1007/s13593-013-0173-6,yu,2014,"winter legumes in rice crop rotations reduces nitrogen loss, and improves rice yield and soil nitrogen supply",yu2014,True
191,10.1007/s13593-013-0197-y,njeru,2014,first evidence for a major cover crop effect on arbuscular mycorrhizal fungi and organic maize growth,njeru2014,True
192,10.1007/s13593-014-0215-8,henneron,2015,fourteen years of evidence for positive effects of conservation agriculture and organic farming on soil life,henneron2015,True
193,10.1007/s13593-016-0366-x,wang,2016,conservation tillage increases soil bacterial diversity in the dryland of northern china,wang2016a,True
194,10.1007/s40003-014-0141-7,hati,2015,"effects of tillage, residue and fertilizer nitrogen on crop yields, and soil physical properties under soybean-wheat rotation in vertisols of central india",hati2015a,True
195,10.1016//j.geoderma.2005.08.012,jiao,2006,no-tillage and manure applications increase aggregation and improve nutrient retention in a sandy-loam soil,jiao2006,True
